"","Column1","study","year","psy_or_med","active_type","control_type","instrument","primary","hierarchy","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","time","time_weeks","comorbid_mental","comorbid_mental?","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","responders_active","responders_control","responders_active_30","responders_control_30","responders_active_35","responders_control_35"
"1",1,"Organon","2002a",0,"Mirtazapine","Placebo","CDRS",1,1,"clinician",NA,NA,82,NA,NA,44,35.08,NA,82,37.24,NA,44,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",8,"n","NA",NA,"7 to 17",12.3,NA,12.4,NA,NA,NA,47.6,56.8,"mdd","17",NA,NA,NA,NA,NA,NA,NA
"2",2,"Organon","2002b",0,"Mirtazapine","Placebo","CDRS",1,1,"clinician",NA,NA,88,NA,NA,45,35.39,NA,82,38.76,NA,41,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",8,"n","NA",NA,"7 to 17",11.9,NA,12.3,NA,NA,NA,50,50.5,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"3",3,"Atkinson","2014",0,"Duloxetine","Placebo","CDRS-R",1,1,"clinician",59.2,10.5,117,60.2,11.7,103,35,NA,87,35,NA,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.67,NA,NA,0.62,"post",10,"n","NA","USA","7 to 17",13.1,3,13.3,3.1,NA,NA,54.7,49.5,"mdd","65",NA,NA,NA,NA,NA,NA,NA
"4",4,"Atkinson","2014",0,"Fluoxetine","Placebo","CDRS-R",1,1,"clinician",58.8,10.6,117,60.2,11.7,103,35.6,NA,91,35,NA,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.63,NA,NA,0.62,"post",10,"n","NA","USA","7 to 17",13.1,3.3,13.3,3.1,NA,NA,52.1,49.5,"mdd","65",NA,NA,NA,NA,NA,NA,NA
"5",5,"Berard","2006",0,"Paroxetine","Placebo","MADRS",1,1,"clinician",25.9,6.75,182,25.9,5.79,93,NA,NA,177,NA,NA,177,-13.6,10.91,177,-12.8,10.3,91,"50% improvement from baseline",107,177,NA,53,91,NA,"post",12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",15.5,1.6,15.8,1.6,NA,NA,67,67,"mdd","33",NA,NA,NA,NA,NA,NA,NA
"6",6,"Berard","2006",0,"Paroxetine","Placebo","K-SADS-L",1,0,"clinician",NA,NA,182,NA,NA,93,NA,NA,171,NA,NA,88,-9.33,7.06,171,-8.92,6.57,88,NA,NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",15.5,1.6,15.8,1.6,NA,NA,67,67,"mdd","33",NA,NA,NA,NA,NA,NA,NA
"7",7,"Berard","2006",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",119,172,NA,51,89,NA,"post",12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",15.5,1.6,15.8,1.6,NA,NA,67,67,"mdd","33",NA,NA,NA,NA,NA,NA,NA
"8",8,"Berard","2006",0,"Paroxetine","Placebo","BDI",0,0,"clinician",23,10.79,182,22.4,11.57,93,NA,NA,174,NA,NA,174,-12.5,10.82,174,-12.07,10.25,90,"Change from baseline BDI score.",NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",15.5,1.6,15.8,1.6,NA,NA,67,67,"mdd","33",NA,NA,NA,NA,NA,NA,NA
"9",9,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo","CDRS",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8,NA,NA,-22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"10",10,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo","HAM-D",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.9,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"11",11,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",NA,NA,0.63,NA,NA,0.44,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"12",12,"Bristol-Myers Squibb","2002b",0,"Nefazodone","Placebo","CDRS",1,1,"clinician",61.2,NA,90,58.3,NA,93,NA,NA,NA,NA,NA,NA,-23.2,NA,90,-21.6,NA,93,"missing",NA,NA,NA,NA,NA,NA,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"13",13,"Emslie","1997",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",58.5,10.5,48,57.6,10.4,48,38.4,14.8,34,47.1,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,2.7,12.5,2.6,NA,NA,46,46,"mdd","1",NA,13,4,18,10,16,5
"14",14,"Emslie","1997",0,"Fluoxetine","Placebo","CDI/BDI *",0,0,"clinician",15.8,10.6,48,15.3,11.9,48,9.9,12,34,11.2,10.8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,2.7,12.5,2.6,NA,NA,46,46,"mdd","1",NA,10,12,17,15,17,10
"15",15,"Emslie","1997",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",27,48,NA,16,48,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,2.7,12.5,2.6,NA,NA,46,46,"mdd","1",NA,NA,NA,NA,NA,NA,NA
"16",16,"Emslie","2002a",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",57.1,9.9,109,55.1,11.8,110,35.1,13.5,109,40.2,13.5,105,NA,NA,NA,NA,NA,NA,"30% improvement in CDRS",71,109,NA,54,101,NA,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,2.46,12.69,2.67,NA,NA,49.5,49.5,"mdd","15",NA,29,15,64,49,63,39
"17",17,"Emslie","2002a",0,"Fluoxetine","Placebo","MADRS",0,0,"clinician",21.6,7.5,109,21.5,8.3,110,11.2,9,109,13.9,8.2,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,2.46,12.69,2.67,NA,NA,49.5,49.5,"mdd","15",NA,52,30,75,60,71,55
"18",18,"Emslie","2002a",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",57,109,0.523,NA,NA,0.368,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,2.46,12.69,2.67,NA,NA,49.5,49.5,"mdd","15",NA,NA,NA,NA,NA,NA,NA
"19",19,"Emslie","2002b",0,"Nefazodone","Placebo","CDRS",1,1,"clinician",NA,NA,99,NA,NA,96,NA,NA,99,NA,NA,96,-26.5,NA,99,-22.5,NA,96,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"20",20,"Emslie","2002b",0,"Nefazodone","Placebo","HAM-D",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,99,-8.2,NA,96,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"21",21,"Emslie","2002b",0,"Nefazodone","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",61,99,NA,40,96,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"22",22,"Emslie","2006",0,"Paroxetine","Placebo","CDRS",1,1,"clinician",60.7,9.37,101,62.6,8.96,102,NA,NA,101,NA,NA,100,-22.58,14.77,101,-23.38,16,100,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","adhd","USA + Canada","7 to 17",11.9,3,12.1,2.95,12,2.97,46.8,46.8,"mdd","40",NA,NA,NA,NA,NA,NA,NA
"23",23,"Emslie","2006",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",49,101,NA,46,100,NA,"post",8,"y","adhd","USA + Canada","7 to 17",11.9,3,12.1,2.95,12,2.97,46.8,46.8,"mdd","40",NA,NA,NA,NA,NA,NA,NA
"24",24,"Emslie","2007a",0,"Venlafaxine","Placebo","CDRS",1,1,"clinician",54.4,NA,80,54.4,NA,85,36.3,13.19,68,38.3,12.82,73,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",43,68,NA,37,73,NA,"post",8,"n","NA","USA","7 to 17",NA,2.6,NA,2.6,NA,NA,NA,NA,"mdd","50",NA,22,13,44,36,27,24
"25",25,"Emslie","2007b",0,"Venlafaxine","Placebo","CDRS",1,1,"clinician",57.3,NA,102,57.3,NA,94,32.7,13.06,101,34.5,13.43,92,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",77,101,NA,62,92,NA,"post",8,"n","NA","USA","7 to 17",NA,2.6,NA,2.6,NA,NA,NA,NA,"mdd","50",NA,30,29,70,67,72,51
"26",26,"Emslie","2007 (combined)",0,"Venlafaxine","Placebo","MADRS",0,0,"clinician",25.6,6.6,168,25.1,6.1,169,NA,NA,160,NA,NA,161,NA,NA,NA,NA,NA,NA,"50% improvement from baseline score",81,160,NA,75,161,NA,"post",8,"n","NA","USA","7 to 17",12.2,2.6,12.3,2.6,NA,NA,44,47,"mdd","50",NA,NA,NA,NA,NA,NA,NA
"27",27,"Emslie","2007 (combined)",0,"Venlafaxine","Placebo","HAM-D",0,0,"clinician",18.2,5.6,168,18.1,5.6,169,NA,NA,166,NA,NA,162,NA,NA,NA,NA,NA,NA,"50% improvement from baseline score",85,166,NA,79,162,NA,"post",8,"n","NA","USA","7 to 17",12.2,2.6,12.3,2.6,NA,NA,44,47,"mdd","50",NA,NA,NA,NA,NA,NA,NA
"28",28,"Emslie","2009",0,"Escitalopram","Placebo","CDRS",1,1,"clinician",57.6,8.19,154,56,8.27,157,NA,NA,NA,NA,NA,NA,-22.1,15.14,154,-18.8,15.91,157,"40% improvement from baseline score",91,154,NA,76,157,NA,"post",8,"y","ADHD, enuresis, GAD","USA","12 to 17",14.7,1.6,14.5,1.5,NA,NA,59.4,58.6,"mdd","40",NA,NA,NA,NA,NA,NA,NA
"29",29,"Emslie","2009",0,"Escitalopram","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",99,154,NA,83,157,NA,"post",8,"y","ADHD, enuresis, GAD","USA","12 to 17",14.7,1.6,14.5,1.5,NA,NA,59.4,58.6,"mdd","40",NA,NA,NA,NA,NA,NA,NA
"30",30,"Emslie","2014",0,"Duloxetine","Placebo","CDRS",1,1,"clinician",59.3,10.9,108,58.2,9.4,122,35,NA,105,37.4,NA,117,-23.9,NA,105,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",12.9,2.9,13.1,2.9,NA,NA,55.6,56.6,"mdd","60",NA,NA,NA,NA,NA,NA,NA
"31",31,"Emslie","2014",0,"Duloxetine","Placebo","CDRS",1,1,"clinician",59.8,11,116,58.2,9.4,122,34.4,NA,114,37.4,NA,117,-24.6,NA,114,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",12.9,2.9,13.1,2.9,NA,NA,40.5,56.6,"mdd","60",NA,NA,NA,NA,NA,NA,NA
"32",32,"Emslie","2014",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",57.9,10.1,117,58.2,9.4,122,36.4,NA,112,37.4,NA,117,-22.6,NA,112,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.61,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",13,3.2,13.1,2.9,NA,NA,52.1,56.6,"mdd","60",NA,NA,NA,NA,NA,NA,NA
"33",33,"Findling","2009",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",53,9.84,18,53.94,9.84,16,34.6,13.66,18,31.31,13.68,16,-18.4,12.47,18,-22.63,12.48,16,"30% improvement from baseline",NA,NA,0.72,NA,16,0.81,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,1.11,16.35,1.08,16.46,1.08,22,6,"mdd","1",NA,5,9,10,11,12,9
"34",34,"Findling","2009",0,"Fluoxetine","Placebo","BDI",0,0,"self-report",17.2,13.15,18,13,13.32,16,7.62,7.59,15,8.12,7.61,13,-9.58,12.74,15,-4.88,12.76,13,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,1.11,16.35,1.08,16.46,1.08,22,6,"mdd","1",NA,7,8,11,10,13,9
"35",35,"Findling","2009",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",9,18,NA,6,16,NA,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,1.11,16.35,1.08,16.46,1.08,22,6,"mdd","1",NA,NA,NA,NA,NA,NA,NA
"36",36,"Geller","1990",0,"Nortriptyline","Placebo","GAS",0,0,"clinician",37.6,3.8,12,38.6,3.9,19,54.2,14.9,12,48.9,16.2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Melancholia, separation anxiety, antisocial behaviour","USA","12 to 17",14,1.7,14.4,1.6,14.3,1.5,75,42.1,"mdd","missing",NA,0,1,0,1,1,1
"37",37,"Geller","1990",0,"Nortriptyline","Placebo","CDRS",1,1,"clinician",51.3,4.4,12,52.4,3.7,19,34.7,7.8,12,37.8,9.1,19,NA,NA,NA,NA,NA,NA,"CDRS score of ≤25",1,12,NA,4,19,NA,"post",8,"y","Melancholia, separation anxiety, antisocial behaviour","USA","12 to 17",14,1.7,14.4,1.6,14.3,1.5,75,42.1,"mdd","missing",NA,2,1,7,9,5,4
"38",38,"Geller","1992",0,"Nortriptyline","Placebo","CDRS",1,1,"clinician",49.9,4.2,26,49.6,4.6,24,32.9,11.4,26,32,9.8,24,NA,NA,NA,NA,NA,NA,"CDRS score of ≤20",8,26,NA,4,24,NA,"post",8,"n","NA","USA","6 to 12",9.7,1.6,9.7,1.7,9.7,1.6,26.9,33.3,"mdd","missing",NA,6,3,17,13,14,9
"39",39,"Geller","1992",0,"Nortriptyline","Placebo","K-SADS-L",0,0,"clinician",3.98,0.42,26,3.89,0.5,24,2.41,0.81,26,2.2,0.78,24,NA,NA,NA,NA,NA,NA,"Scores of 1 or 2 on all MDD items on the K-SADS",12,26,NA,14,24,NA,"post",8,"n","NA","USA","6 to 12",9.7,1.6,9.7,1.7,9.7,1.6,26.9,33.3,"mdd","missing",NA,7,8,18,19,15,16
"40",40,"Hughes","1990",0,"Imipramine","Placebo","CDRS",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",4,7,NA,1,5,NA,"post",6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"41",41,"Hughes","1990",0,"Imipramine","Placebo","CDRS",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",2,6,NA,6,9,NA,"post",6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"42",42,"Keller","2001",0,"Paroxetine","Placebo","HAM-D",1,1,"clinician",18.98,4.15,93,18.97,4.1,87,8.24,7.68,90,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",60,90,NA,48,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,62.4,65.5,"mdd","12",NA,55,46,67,58,57,49
"43",43,"Keller","2001",0,"Paroxetine","Placebo","K-SADS-L",0,0,"clinician",28.25,5.01,93,28.84,4.85,87,16.59,7.65,83,19.27,7.65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,62.4,65.5,"mdd","12",NA,32,21,56,45,53,28
